Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Bieganie,2020-08-11 19:02:21,false,"Kraków Bieg","10.30","754","00:53:46","--","--","--","163","211","5:13","2:39","14","14","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:37.88","11","0.0","00:52:19","01:17:01","198","213"
Bieganie,2020-08-04 20:16:21,false,"Myślenice Bieg","6.39","477","00:30:22","--","--","--","171","186","4:45","3:46","114","118","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:01.72","7","0.0","00:30:21","00:31:26","260","350"
Bieganie,2020-07-30 20:33:26,false,"Myślenice Bieg","5.42","403","00:26:11","--","--","--","170","186","4:50","3:55","109","110","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:04.02","6","0.0","00:26:10","00:28:51","250","346"
Bieganie,2020-07-27 20:29:18,false,"Myślenice Bieg","5.40","402","00:25:28","--","--","--","171","184","4:43","3:49","153","144","1.24","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:05.36","6","0.0","00:25:27","00:25:54","241","350"
Bieganie,2020-07-21 19:02:15,false,"Kraków Bieg","10.18","758","01:05:50","--","--","--","160","218","6:28","1:53","126","125","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:19.05","11","0.0","00:59:44","01:23:07","197","294"
Bieganie,2020-07-19 12:15:53,false,"Myślenice Bieg","12.71","951","01:03:09","--","--","--","172","249","4:58","3:38","250","252","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:41.18","13","0.0","01:03:05","01:16:03","260","350"
Bieganie,2020-07-14 19:04:51,false,"Kraków Bieg","11.10","805","01:01:40","--","--","--","163","237","5:33","2:24","25","21","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:36.63","12","0.0","01:01:00","01:14:48","198","213"
Bieganie,2020-07-12 19:11:44,false,"Myślenice Bieg","8.54","634","00:40:36","--","--","--","171","234","4:45","3:33","186","185","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:31.35","9","0.0","00:40:18","01:18:37","260","350"
Bieganie,2020-07-03 07:24:39,false,"Myślenice Bieg","6.29","471","00:30:39","--","--","--","173","229","4:52","3:46","125","128","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:24.76","7","0.0","00:30:36","00:34:41","260","350"
Bieganie,2020-06-29 19:55:53,false,"Myślenice Bieg","6.36","474","00:30:57","--","--","--","170","194","4:52","3:48","131","129","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:44.76","7","0.0","00:30:35","00:32:04","260","350"
Bieganie,2020-06-27 20:32:43,false,"Myślenice Bieg","6.29","468","00:31:01","--","--","--","170","180","4:56","3:52","128","127","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:34.36","7","0.0","00:30:48","00:35:27","260","350"
Bieganie,2020-06-23 12:44:43,false,"Myślenice Bieg","11.83","804","01:27:49","--","--","--","152","240","7:25","4:19","557","518","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:56.03","12","0.0","01:27:28","01:45:01","309","665"
Bieganie,2020-06-21 09:04:12,false,"Kraków Bieg","9.22","651","01:05:02","--","--","--","154","245","7:03","2:30","26","23","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:21.80","10","0.0","01:01:55","01:29:44","198","223"
Bieganie,2020-06-18 20:49:12,false,"Myślenice Bieg","6.35","477","00:34:08","--","--","--","167","192","5:22","4:22","128","126","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:05.33","7","0.0","00:34:07","00:34:08","260","350"
Bieganie,2020-06-16 17:23:03,false,"Myślenice Bieg","5.02","372","00:25:07","--","--","--","167","180","5:00","3:45","94","94","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:04.87","6","0.0","00:25:06","00:26:47","252","348"
Bieganie,2020-06-14 19:34:30,false,"Kraków Bieg","5.02","374","00:26:14","--","--","--","167","172","5:13","4:44","8","11","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:08.41","6","0.0","00:26:12","00:27:26","217","225"
Bieganie,2020-06-02 20:32:54,false,"Kraków Bieg","5.07","379","00:24:42","--","--","--","170","180","4:53","4:06","--","--","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:19.09","6","0.0","00:24:41","00:27:05","218","224"
Bieganie,2020-03-26 16:56:38,false,"Kraków Bieg","5.02","372","00:25:20","--","--","--","168","184","5:03","4:18","8","11","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:08.41","6","0.0","00:25:18","00:27:57","217","225"
Bieganie,2020-03-24 16:10:46,false,"Kraków Bieg","4.69","348","00:23:14","--","--","--","169","181","4:58","4:10","6","9","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:18.74","5","0.0","00:23:12","00:24:40","217","225"
Bieganie,2020-03-12 17:17:43,false,"Kraków Bieg","6.09","454","00:28:24","--","--","--","171","182","4:40","4:11","10","11","1.26","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:26.12","7","0.0","00:28:21","00:30:20","217","226"
Bieganie,2020-03-09 17:11:43,false,"Kraków Bieg","8.02","602","00:38:18","--","--","--","170","186","4:47","4:07","17","17","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:05.95","9","0.0","00:38:17","00:38:18","216","228"
Bieganie,2020-03-05 21:10:53,false,"Kraków Bieg","5.60","418","00:26:43","--","--","--","173","210","4:46","4:13","5","4","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:55.45","6","0.0","00:26:42","00:29:26","218","224"
Bieganie,2020-02-23 20:56:15,false,"Randers Biegi","5.09","378","00:25:33","--","--","--","169","180","5:01","4:14","31","33","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:38.09","6","0.0","00:25:24","00:30:30","1","25"
Bieganie,2020-02-17 17:26:20,false,"Kraków Biegi","7.02","520","00:32:57","--","--","--","170","184","4:41","4:06","40","44","1.25","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:08.25","8","0.0","00:32:53","00:35:28","216","261"
Bieganie,2020-02-12 17:59:43,false,"Kraków Biegi","6.57","490","00:29:21","--","--","--","175","210","4:28","3:55","7","5","1.28","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:42.73","7","0.0","00:29:19","00:32:50","218","224"
Bieganie,2020-02-03 17:55:25,false,"Kraków Biegi","3.90","251","00:18:05","159","171","3.2","173","185","4:38","3:56","2","3","1.25","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:08.40","4","0.0","00:18:03","00:20:12","218","224"
Bieganie,2020-01-21 20:37:59,false,"Kraków Biegi","9.39","624","00:44:14","163","186","4.5","171","204","4:43","3:16","26","29","1.24","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:31.82","10","0.0","00:44:02","00:59:10","212","223"
Bieganie,2020-01-13 17:43:21,false,"Kraków Biegi","9.18","597","00:43:05","161","182","4.2","170","207","4:42","3:46","16","19","1.25","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:50.08","10","0.0","00:42:52","00:49:33","209","226"
Bieganie,2020-01-07 20:23:34,false,"Kraków Biegi","5.02","401","00:31:09","147","162","3.2","157","187","6:12","3:55","12","12","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:09.11","6","0.0","00:30:34","00:35:39","216","228"
Bieganie,2020-01-05 14:22:46,false,"Kraków Biegi","5.14","397","00:29:46","149","160","3.2","163","244","5:48","2:42","3","2","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:38.86","6","0.0","00:28:45","00:31:42","201","206"
Bieganie,2019-12-27 14:22:46,false,"Kraków Biegi","13.34","880","01:04:03","157","179","4.0","174","233","4:48","1:06","28","27","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:32.75","14","0.0","01:03:55","01:19:35","198","220"
Bieganie,2019-12-24 11:09:35,false,"Kraków Biegi","5.28","339","00:24:04","158","171","3.3","177","189","4:33","4:09","7","7","1.24","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:17.02","6","0.0","00:24:02","00:24:04","200","207"
Bieganie,2019-12-21 13:54:42,false,"Kraków Biegi","5.15","365","00:35:09","134","154","2.2","157","218","6:50","3:41","107","153","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:49.33","6","0.0","00:32:40","01:08:07","252","355"
Bieganie,2019-12-16 18:29:03,false,"Kraków Biegi","10.03","634","00:45:24","159","175","4.2","175","187","4:32","3:53","23","23","1.26","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:09.12","11","0.0","00:45:15","00:49:08","199","220"
Bieganie,2019-12-14 14:59:38,false,"Myślenice Biegi","6.27","410","00:29:41","158","173","3.5","173","193","4:44","3:01","126","126","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:26.73","7","0.0","00:29:33","00:38:06","260","350"
Bieganie,2019-12-11 17:26:16,false,"Kraków Biegi","5.75","401","00:28:30","158","187","3.4","171","185","4:57","3:54","6","32","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:43.01","6","0.0","00:28:23","00:31:05","196","224"
Bieganie,2019-12-08 09:45:19,false,"Liszki Biegi","9.98","647","00:42:48","170","194","4.7","179","191","4:17","3:15","46","44","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:00.72","10","0.0","00:42:43","00:42:48","234","256"
Bieganie,2019-12-03 18:34:18,false,"Kraków Biegi","5.02","337","00:21:37","173","183","3.7","179","185","4:19","3:49","6","7","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:04.84","6","0.0","00:21:36","00:23:10","200","207"
Bieganie,2019-12-01 21:53:34,false,"Kraków - 5x800 / 2:30 REG","6.85","501","00:34:11","165","187","4.1","169","191","4:59","3:48","8","9","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:08.67","13","0.0","00:34:08","00:34:11","200","208"
Bieganie,2019-11-29 20:28:29,false,"Kraków Biegi","10.05","674","00:44:43","166","184","4.7","175","187","4:27","3:42","25","25","1.28","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:18.07","11","0.0","00:44:39","00:47:54","199","222"
Bieganie,2019-11-15 17:54:15,false,"Kraków - 5x800 / 2:30 REG","7.04","459","00:35:23","151","168","3.3","167","189","5:02","3:38","11","11","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:34.70","13","0.0","00:35:21","00:35:23","198","208"
Bieganie,2019-11-13 18:32:03,false,"Kraków Biegi","4.64","299","00:22:15","150","163","3.1","171","183","4:48","3:48","8","7","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:15.44","5","0.0","00:22:14","00:22:15","194","204"
Bieganie,2019-11-11 20:26:41,false,"Kraków Biegi","10.04","648","00:42:58","171","182","4.7","179","187","4:17","3:55","22","20","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:13.00","11","0.0","00:42:56","00:42:58","199","212"
Bieganie,2019-11-07 19:52:41,false,"Kraków Biegi","5.12","374","00:27:56","155","176","3.1","166","193","5:27","3:26","5","5","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:50.32","6","0.0","00:27:47","00:28:02","200","207"
Bieganie,2019-11-06 07:35:54,false,"Kraków Biegi","8.33","550","00:38:00","163","182","3.9","178","198","4:34","3:12","53","55","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:24.45","9","0.0","00:37:55","00:43:24","198","243"
Bieganie,2019-11-03 21:31:53,false,"Kraków Biegi","10.09","644","00:47:02","157","184","3.8","177","188","4:40","4:01","26","27","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:31.25","11","0.0","00:46:59","00:51:30","199","222"
Bieganie,2019-10-28 22:09:23,false,"Kraków - interwały start","4.40","255","00:20:32","143","162","2.6","176","203","4:40","3:01","4","6","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:18.95","8","0.0","00:20:21","00:22:35","200","206"
Bieganie,2019-10-24 17:52:45,false,"Kraków Biegi","5.01","308","00:20:49","170","185","3.5","183","197","4:09","3:19","7","6","1.31","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:01.46","6","0.0","00:20:48","00:20:49","200","208"
Bieganie,2019-10-22 19:41:35,false,"Kraków Biegi","7.06","378","00:40:16","131","164","2.0","164","235","5:42","4:15","10","12","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:21.95","8","0.0","00:39:54","00:40:47","197","206"
Bieganie,2019-10-19 10:01:37,false,"Myślenice Biegi","13.08","881","01:12:36","152","179","3.6","167","210","5:33","4:12","345","343","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:24.11","14","0.0","01:12:04","01:27:30","317","610"
Bieganie,2019-10-17 18:37:18,false,"Kraków Biegi","5.09","287","00:30:03","127","148","2.0","165","210","5:54","4:21","12","13","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:33.74","6","0.0","00:29:17","00:32:03","206","220"
Bieganie,2019-10-13 11:12:19,false,"Kraków Biegi","21.39","1,461","01:37:40","170","188","5.0","179","192","4:34","3:53","40","39","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:47.54","22","0.0","01:37:36","01:37:40","194","221"
Bieganie,2019-10-10 17:23:59,false,"Kraków Biegi","6.12","504","00:34:52","161","189","4.1","164","176","5:42","1:39","29","31","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:42.45","7","0.0","00:34:08","00:36:59","208","234"
Bieganie,2019-10-06 11:00:36,false,"Nowy Targ (Gmina) Biegi","9.10","706","00:47:47","164","183","4.7","169","239","5:15","3:27","303","297","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:24.09","10","0.0","00:47:41","00:49:47","711","979"
Bieganie,2019-10-02 19:16:44,false,"Kraków Biegi","5.75","383","00:28:29","151","177","3.2","176","186","4:57","4:10","7","6","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:28.32","6","0.0","00:28:26","00:29:03","200","210"
Bieganie,2019-09-27 12:06:26,false,"Cortina d'Ampezzo Biegi","8.10","653","00:57:50","139","177","2.8","157","235","7:08","2:20","134","145","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:47.57","9","0.0","00:55:25","01:39:09","1,289","1,360"
Bieganie,2019-09-25 13:21:51,false,"Pieve di Cadore Biegi","7.29","543","00:36:17","159","190","3.5","170","233","4:59","3:53","131","823","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:31.72","8","0.0","00:35:35","00:48:06","1,110","1,827"
Bieganie,2019-09-15 12:28:21,false,"Myślenice Biegi","18.74","1,340","02:03:07","143","172","3.0","158","238","6:34","4:12","773","751","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:35.40","19","0.0","02:01:47","02:43:12","290","721"
Bieganie,2019-09-12 18:59:14,false,"Kraków Biegi","21.38","1,316","01:40:40","150","184","3.4","178","191","4:42","3:59","63","61","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:00.95","24","0.0","01:40:29","01:48:38","197","220"
Bieganie,2019-09-10 06:51:45,false,"Kraków Biegi","7.09","434","00:30:34","154","170","3.3","182","194","4:18","3:41","35","35","1.28","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:22.45","8","0.0","00:30:31","00:30:38","197","231"
Bieganie,2019-09-07 11:19:32,false,"Myślenice Biegi","12.66","913","01:19:19","147","171","3.4","163","207","6:16","3:36","539","551","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:16.39","13","0.0","01:18:32","01:36:15","288","665"
Bieganie,2019-09-05 17:39:47,false,"Kraków Biegi","15.41","894","01:13:27","146","163","3.2","180","190","4:46","4:08","39","40","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:56.79","16","0.0","01:12:56","01:27:59","198","222"
Bieganie,2019-09-02 06:38:11,false,"Kraków Biegi","10.34","676","00:47:35","153","181","3.7","181","194","4:36","3:06","26","26","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:20.88","11","0.0","00:47:24","00:47:48","197","214"
Bieganie,2019-08-29 06:34:27,false,"Kraków Biegi","7.30","465","00:31:49","157","171","3.6","184","196","4:21","3:51","25","24","1.25","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:19.12","8","0.0","00:31:37","00:32:43","201","222"
Bieganie,2019-08-27 19:09:50,false,"Zabierzów Biegi","6.10","410","00:38:03","133","161","2.3","163","192","6:15","3:31","101","110","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:49.99","7","0.0","00:37:22","00:42:52","280","384"
Bieganie,2019-08-27 06:41:47,false,"Kraków Biegi","8.19","503","00:36:31","151","177","3.4","182","194","4:27","3:27","52","53","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:53.55","9","0.0","00:36:18","00:40:52","198","243"
Bieganie,2019-08-25 13:26:30,false,"Piwniczna-Zdrój Biegi","11.12","797","02:08:15","105","173","2.0","116","182","11:32","2:02","237","423","0.74","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:47.31","12","0.0","02:04:40","02:48:47","830","1,020"
Bieganie,2019-08-24 15:21:40,false,"Piwniczna-Zdrój Biegi","5.92","436","00:31:59","150","179","3.0","168","240","5:24","3:41","196","207","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:21.14","6","0.0","00:31:24","00:42:08","829","1,018"
Bieganie,2019-08-21 07:07:39,false,"Kraków Biegi","7.16","488","00:32:10","159","192","3.6","184","199","4:30","3:44","14","13","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:37.92","8","0.0","00:32:10","00:32:10","197","206"
Bieganie,2019-08-20 06:36:47,false,"Kraków Biegi","10.09","641","00:47:48","147","161","3.2","181","190","4:44","4:02","32","31","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:33.57","11","0.0","00:47:24","00:49:03","199","223"
Bieganie,2019-08-15 15:23:12,false,"Nowy Targ (Gmina) Biegi","15.46","1,389","02:04:00","142","172","3.2","148","244","8:01","3:58","613","612","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:54.44","16","0.0","01:59:47","04:01:38","790","1,304"
Bieganie,2019-08-12 22:43:49,false,"Kraków Biegi","7.03","440","00:32:26","144","160","3.0","180","192","4:37","3:59","7","5","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:12.12","8","0.0","00:32:10","00:33:07","196","206"
Bieganie,2019-08-11 22:44:47,false,"Kraków Biegi","10.19","645","00:50:14","144","172","2.9","176","194","4:56","3:57","60","60","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:53.39","11","0.0","00:49:40","01:01:00","200","243"
Bieganie,2019-08-07 22:53:30,false,"Kraków Biegi","8.14","481","00:39:41","140","154","2.5","176","190","4:53","4:10","30","29","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:42.11","9","0.0","00:39:25","00:41:43","200","224"
Bieganie,2019-08-04 23:04:56,false,"Kraków Biegi","5.43","301","00:23:49","141","162","2.6","180","200","4:23","3:10","3","3","1.26","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:29.43","6","0.0","00:23:36","00:24:56","200","207"
Bieganie,2019-08-03 15:10:08,false,"Sułkowice Biegi","10.86","908","01:33:37","133","171","2.8","149","245","8:37","4:24","543","543","0.79","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","06:00.10","11","0.0","01:29:24","02:39:05","485","805"
Bieganie,2019-08-01 18:39:36,false,"Kraków Biegi","14.12","908","01:22:03","145","184","3.1","170","235","5:49","4:13","366","362","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:49.96","15","0.0","01:19:44","01:30:16","238","366"
Bieganie,2019-07-30 17:56:11,false,"Kraków Biegi","7.39","460","00:35:06","144","161","3.0","176","199","4:45","2:59","13","14","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:37.11","8","0.0","00:34:39","00:37:59","200","208"
Bieganie,2019-07-29 19:47:12,false,"Kraków Biegi","6.08","504","00:41:42","147","179","3.1","159","172","6:52","5:12","105","106","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:51.14","7","0.0","00:40:41","00:58:41","233","295"
Bieganie,2019-07-25 20:18:38,false,"Jerzmanowice-Przeginia Biegi","9.04","723","01:00:28","141","177","3.1","160","249","6:41","3:34","204","211","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:30.54","10","0.0","00:59:10","01:08:17","334","446"
Bieganie,2019-07-24 17:56:14,false,"Kraków Biegi","5.75","368","00:25:21","155","177","3.1","178","199","4:24","2:37","8","7","1.27","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:56.55","6","0.0","00:25:18","00:26:12","198","206"
Bieganie,2019-07-23 10:16:33,false,"Myślenice Biegi","7.57","559","00:37:25","158","179","3.7","177","200","4:56","4:22","151","153","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:04.23","8","0.0","00:37:18","00:40:04","260","350"
Bieganie,2019-07-22 12:07:54,false,"Myślenice Biegi","8.05","497","00:41:29","142","166","2.8","174","188","5:09","4:24","108","136","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:43.96","9","0.0","00:39:56","00:58:46","250","347"
Bieganie,2019-07-15 21:06:29,false,"Kraków Biegi","6.14","403","00:28:54","152","171","3.2","175","190","4:42","3:12","18","8","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:37.99","7","0.0","00:28:23","00:29:29","201","215"
Bieganie,2019-07-14 22:46:35,false,"Kraków Biegi","10.11","630","00:50:50","146","176","3.0","173","186","5:02","4:18","25","25","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:43.62","11","0.0","00:49:56","00:51:12","200","222"
Bieganie,2019-07-10 23:47:36,false,"Kraków Biegi","8.08","500","00:38:55","149","167","3.4","172","186","4:49","3:55","9","9","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:25.28","9","0.0","00:38:06","00:39:23","199","209"
Bieganie,2019-07-09 23:43:45,false,"Kraków Biegi","7.65","446","00:37:49","145","161","3.1","170","185","4:56","3:58","9","9","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:29.68","8","0.0","00:37:18","00:38:04","199","208"
Bieganie,2019-07-03 09:30:08,false,"Kraków Biegi","6.71","387","00:31:49","152","173","3.5","174","203","4:44","2:53","5","6","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:54.55","7","0.0","00:31:19","00:35:07","200","208"
Bieganie,2019-07-01 09:04:33,false,"Kraków Biegi","5.71","343","00:28:17","155","181","3.6","172","201","4:57","3:04","13","13","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:13.67","6","0.0","00:27:36","00:28:31","198","206"
